,informant,start,end,filename,corpus,text,gender,age,age_group
04072022_TNG1957_Melikhovskaya-3774621-3776208,TNG1957,3774.621,3776.208,audio_files/04072022_TNG1957_Melikhovskaya-3774621-3776208.wav,don_rnd,Это ж он потом-то стал. ,,,
20180618_zii1932_a-4043274-4046990,зии1932,4043.274,4046.99,audio_files/20180618_zii1932_a-4043274-4046990.wav,opochka,Но сейчас это с= теперь заросло всё.,,,
20180618_zii1932_a-6185052-6190420,зии1932,6185.052,6190.42,audio_files/20180618_zii1932_a-6185052-6190420.wav,opochka,"Конечно, много денег надо, много, всё равно много сильно денег надо. Ой, много!",,,
04072022_MLI1941_Melikhovskaya-1413903-1414727,Interviewer,1413.903,1414.727,audio_files/04072022_MLI1941_Melikhovskaya-1413903-1414727.wav,standart,М-м. ,,,
Sib_13-f_93.61_95.68,Sib_13-f,93.61,95.68,./trimmed/Sib_13-f_93.61_95.68.wav,standart,"∙∙∙∙ за этой картошкой,",f,68.0,elderly
20180618_zii1932_a-4276522-4278987,зии1932,4276.522,4278.987,audio_files/20180618_zii1932_a-4276522-4278987.wav,opochka,А теперь мы с ним (им) вдвоём остались.,,,
04072022_TNG1957_Melikhovskaya-7250119-7252006,TNG1957,7250.119,7252.006,audio_files/04072022_TNG1957_Melikhovskaya-7250119-7252006.wav,don_rnd,"Да-да-да, [нрзб]. ",,,
Keba_KMV1919-3273100-3282760,KMV1919,3273.1,3282.76,audio_files/Keba_KMV1919-3273100-3282760.wav,keba,"с кавой выбежала и хотела хватиться, такая кава, [] большой, эту снасть завяжешь,
         и в песок, и задёржишь паром,  ",,,
20180618_zii1932_a-5217559-5219787,зии1932,5217.559,5219.787,audio_files/20180618_zii1932_a-5217559-5219787.wav,opochka,"""Надя, будут сливки возить?""",,,
Keba_KMV1919-2509863-2522707,KMV1919,2509.863,2522.707,audio_files/Keba_KMV1919-2509863-2522707.wav,keba,"Да. Бомбёжку-то упустила, это было в сорок втором году, в Архангельском, упустила
         вот это когды побежала-то, дак тут мы месяц один пожили, вот дорогу-то строили на
         Валдушках-то.  ",,,
020721_VIK1941_Razdorskaya-3700615-3702432,VIK1941,3700.615,3702.432,audio_files/020721_VIK1941_Razdorskaya-3700615-3702432.wav,don_rnd,Тут же без наркозов делали.  ,,,
04072022_MLI1941_Melikhovskaya-237278-238417,tx@MLI1941,237.278,238.417,audio_files/04072022_MLI1941_Melikhovskaya-237278-238417.wav,don_rnd,Вот как жили. ,,,
020721_VIK1941_Razdorskaya-343545-346547,VIK1941,343.545,346.547,audio_files/020721_VIK1941_Razdorskaya-343545-346547.wav,don_rnd,"Она прочитает молитву, и всё, ",,,
04072022_TNG1957_Melikhovskaya-3565786-3572238,TNG1957,3565.786,3572.238,audio_files/04072022_TNG1957_Melikhovskaya-3565786-3572238.wav,don_rnd,"И вот, я ж не рассказала, вот собираются, там уже видят, что все подготовил, договариваются,
         во сколько придут. ",,,
Sib_09-m_0.0_5.09,Sib_09-m,0.0,5.09,./trimmed/Sib_09-m_0.0_5.09.wav,standart,∙∙ Как мы ∙∙ на заре ∙∙∙ перестройки ∙∙∙ летали ∙∙ на самолётах.,m,41.0,middle
Keba_MAS1916_2-530010-536676,MAS1916,530.01,536.676,audio_files/Keba_MAS1916_2-530010-536676.wav,keba,"Дак на поскотины у нас была капуста росла, на лугу вот там за речкой за Кебой капуста
         росла.  ",,,
20180618_zii1932_a-2304397-2306009,зии1932,2304.397,2306.009,audio_files/20180618_zii1932_a-2304397-2306009.wav,opochka,там на троих.,,,
020721_VIK1941_Razdorskaya-5705782-5707832,VIK1941,5705.782,5707.832,audio_files/020721_VIK1941_Razdorskaya-5705782-5707832.wav,don_rnd,сразу доплатим туда. ,,,
Keba_MAS1916_2-2248483-2249151,Interviewer,2248.483,2249.151,audio_files/Keba_MAS1916_2-2248483-2249151.wav,standart,Ага. ,,,
020721_VIK1941_Razdorskaya-3518666-3525483,VIK1941,3518.666,3525.483,audio_files/020721_VIK1941_Razdorskaya-3518666-3525483.wav,don_rnd,"поласкайте его, а вы только и делов: гоп-гоп, гоп-гоп. Он орёт не своим голосом, то
         сами дерутся.  ",,,
Keba_MAS1916_2-2718964-2720318,Interviewer,2718.964,2720.318,audio_files/Keba_MAS1916_2-2718964-2720318.wav,standart,"Да нет, конечно.  ",,,
Keba_KMV1919-1636172-1648689,KMV1919,1636.172,1648.689,audio_files/Keba_KMV1919-1636172-1648689.wav,keba,"А вот еще воротца тут в серёдке вечереньки-то, полвечера пойдут, ребята, сядет кавалер
         к девушке ко своей, ""Но, полвечера!"" - сядет на колени, и кудельку просит,  ",,,
04072022_TNG1957_Melikhovskaya-3390252-3391986,TNG1957,3390.252,3391.986,audio_files/04072022_TNG1957_Melikhovskaya-3390252-3391986.wav,don_rnd,"Помидоры, перец. ",,,
Keba_MAS1916_2-2372741-2374388,Interviewer,2372.741,2374.388,audio_files/Keba_MAS1916_2-2372741-2374388.wav,standart,"Да-да-да-да, через огороду. ",,,
Keba_MAS1916_2-2539523-2541925,Interviewer,2539.523,2541.925,audio_files/Keba_MAS1916_2-2539523-2541925.wav,standart,"А-а, на устье речки.  ",,,
020721_VIK1941_Razdorskaya-3053333-3059000,VIK1941,3053.333,3059.0,audio_files/020721_VIK1941_Razdorskaya-3053333-3059000.wav,don_rnd,"там под зарплату… Денег, конечно, не давали, потому что под деньги же всё это брали,
         под список.  ",,,
20180618_zii1932_a-53927-59198,зии1932,53.927,59.198,audio_files/20180618_zii1932_a-53927-59198.wav,opochka,Вот. Мы-то... Я там отжила двадцать два года.,,,
20180618_enm1930-490475-497681,енм1930,490.475,497.681,audio_files/20180618_enm1930-490475-497681.wav,opochka,На тот свет. Уехали и не приедут.,,,
Sib_05-m_29.05_29.71,Sib_05-m,29.05,29.71,./trimmed/Sib_05-m_29.05_29.71.wav,standart,∙∙ я думаю,m,22.0,young
Sib_01-f_85.62_87.21,Sib_01-f,85.62,87.21,./trimmed/Sib_01-f_85.62_87.21.wav,standart,∙∙∙∙ ээ у нас ==,f,19.0,young
04072022_TNG1957_Melikhovskaya-7253368-7255995,TNG1957,7253.368,7255.995,audio_files/04072022_TNG1957_Melikhovskaya-7253368-7255995.wav,don_rnd,"Я, я себе сама разведу, потому что я не могу. ",,,
04072022_TNG1957_Melikhovskaya-5387213-5391040,TNG1957,5387.213,5391.04,audio_files/04072022_TNG1957_Melikhovskaya-5387213-5391040.wav,don_rnd,По краюшкам позолоченная. ,,,
Sib_05-m_57.17_59.95,Sib_05-m,57.17,59.95,./trimmed/Sib_05-m_57.17_59.95.wav,standart,"∙∙∙ Приехали на какие-то ∙∙ озёра-а,",m,22.0,young
Sib_02-f_70.85_73.73,Sib_02-f,70.85,73.73,./trimmed/Sib_02-f_70.85_73.73.wav,standart,"∙∙∙ там была ∙∙∙ большая змея,",f,20.0,young
Keba_KMV1919-1140904-1150852,KMV1919,1140.904,1150.852,audio_files/Keba_KMV1919-1140904-1150852.wav,keba,"Дак вот так всё это жили, и по вечеренькам боле пойдёшь, по вечеренькам ходили, прясть-то
         на вечереньку пойдём, друг ко дружке,  ",,,
020721_VIK1941_Razdorskaya-5189187-5191070,VIK1941,5189.187,5191.07,audio_files/020721_VIK1941_Razdorskaya-5189187-5191070.wav,don_rnd,"А как же, с малечку.  ",,,
04072022_TNG1957_Melikhovskaya-6997409-6997876,TNG1957,6997.409,6997.876,audio_files/04072022_TNG1957_Melikhovskaya-6997409-6997876.wav,don_rnd,Угу. ,,,
Sib_03-m_93.03_96.11,Sib_03-m,93.03,96.11,./trimmed/Sib_03-m_93.03_96.11.wav,standart,∙∙∙∙ тоже же хорошо...,m,19.0,young
020721_VIK1941_Razdorskaya-4235332-4237567,Interviewer,4235.332,4237.567,audio_files/020721_VIK1941_Razdorskaya-4235332-4237567.wav,standart,А как это происходило? ,,,
04072022_MLI1941_Melikhovskaya-3338040-3338890,Interviewer,3338.04,3338.89,audio_files/04072022_MLI1941_Melikhovskaya-3338040-3338890.wav,standart,Угу. ,,,
Sib_07-f_78.72_81.18,Sib_07-f,78.72,81.18,./trimmed/Sib_07-f_78.72_81.18.wav,standart,∙∙∙ Ну и в результате так никто и не выяснил:,f,42.0,middle
020721_VIK1941_Razdorskaya-5353824-5359024,VIK1941,5353.824,5359.024,audio_files/020721_VIK1941_Razdorskaya-5353824-5359024.wav,don_rnd,"Редко были такие, что любили своих жён, ой.  ",,,
20180618_zii1932_a-6234499-6239482,зии1932,6234.499,6239.482,audio_files/20180618_zii1932_a-6234499-6239482.wav,opochka,"Если не очень учится, платить каждый",,,
Keba_MAS1916_2-2150207-2158721,MAS1916,2150.207,2158.721,audio_files/Keba_MAS1916_2-2150207-2158721.wav,keba,"Вот она идёт, и боле заворачивается, и кверху пойдёт. Мост-то не давает пойти-то низ-то.
         А раньше-то на низ текла. ",,,
04072022_TNG1957_Melikhovskaya-6548513-6551806,TNG1957,6548.513,6551.806,audio_files/04072022_TNG1957_Melikhovskaya-6548513-6551806.wav,don_rnd,"Ну да, да, невеста уже все, ее забрали, она осталась там. ",,,
20180618_zii1932_a-5532101-5535996,зии1932,5532.101,5535.996,audio_files/20180618_zii1932_a-5532101-5535996.wav,opochka,"Да и жарко сегодня, там тоже томно.",,,
Keba_KMV1919-1150852-1162175,KMV1919,1150.852,1162.175,audio_files/Keba_KMV1919-1150852-1162175.wav,keba,"да вот тут на вечереньку ходили, да и ребята тут ходили, тут женихов припевали ребятам-то,
         девкам-то, декам-то женихов припевали, да вот и всё тут больше,  ",,,
20180618_zii1932_a-7002600-7004123,зии1932,7002.6,7004.123,audio_files/20180618_zii1932_a-7002600-7004123.wav,opochka,Читает плохо!,,,
04072022_MLI1941_Melikhovskaya-1004199-1005824,Interviewer,1004.199,1005.824,audio_files/04072022_MLI1941_Melikhovskaya-1004199-1005824.wav,standart,Всегда цветами? ,,,
Sib_05-m_113.36_114.66,Sib_05-m,113.36,114.66,./trimmed/Sib_05-m_113.36_114.66.wav,standart,"∙∙∙ А ‖ а ‖ о кстати,",m,22.0,young
20180619_vav1949-629012-629540,Interviewer,629.012,629.54,audio_files/20180619_vav1949-629012-629540.wav,standart,Ага.,,,
020721_VIK1941_Razdorskaya-4818532-4823916,VIK1941,4818.532,4823.916,audio_files/020721_VIK1941_Razdorskaya-4818532-4823916.wav,don_rnd,"Да, да, да. Дедушка намного старше был.  ",,,
04072022_TNG1957_Melikhovskaya-3154802-3156796,TNG1957,3154.802,3156.796,audio_files/04072022_TNG1957_Melikhovskaya-3154802-3156796.wav,don_rnd,"С картошкой -- это рыбный суп, это не уха. ",,,
20180619_vav1949-837267-844224,вав1949,837.267,844.224,audio_files/20180619_vav1949-837267-844224.wav,opochka,"Нет, нет, она всё расскажет, они раньше жили там за речкой, (нрзб) они живут дом построили,
      а раньше там они жили.",,,
04072022_TNG1957_Melikhovskaya-6175906-6179319,TNG1957,6175.906,6179.319,audio_files/04072022_TNG1957_Melikhovskaya-6175906-6179319.wav,don_rnd,"Потому что когда мы вот учились, они их не вешала на стенку. ",,,
04072022_TNG1957_Melikhovskaya-205740-208190,TNG1957,205.74,208.19,audio_files/04072022_TNG1957_Melikhovskaya-205740-208190.wav,don_rnd,Я просто нам [нрзб] одноклассники у меня здесь. ,,,
Keba_MAS1916_2-850140-855851,MAS1916,850.14,855.851,audio_files/Keba_MAS1916_2-850140-855851.wav,keba,"Нет, я и говорю, что много людей болело. Много людей болело, и большие ведь болели,
         большие.  ",,,
04072022_MLI1941_Melikhovskaya-1186146-1188095,Interviewer,1186.146,1188.095,audio_files/04072022_MLI1941_Melikhovskaya-1186146-1188095.wav,standart,"В этом нет, в вашем не была. ",,,
Keba_KMV1919-3322183-3328372,KMV1919,3322.183,3328.372,audio_files/Keba_KMV1919-3322183-3328372.wav,keba,"и боле забралась в будку, ветер такой дует, и боле лежу, там будка была на пароме-то,
          ",,,
Keba_MAS1916_2-2545690-2553632,MAS1916,2545.69,2553.632,audio_files/Keba_MAS1916_2-2545690-2553632.wav,keba,"А тут опять говорят: где гриб вырос, тут и выгниет. Это правн= правда точно. Если
         никто его не возьмёт.  ",,,
Sib_15-f_200.27_201.08,Sib_15-f,200.27,201.08,./trimmed/Sib_15-f_200.27_201.08.wav,standart,"∙∙ Вот,",f,70.0,elderly
20180618_zii1932_a-3846974-3849579,Interviewer,3846.974,3849.579,audio_files/20180618_zii1932_a-3846974-3849579.wav,standart,"Вот тоже там помидоры, огурцы порезали.",,,
20180618_enm1930-1635720-1636630,енм1930,1635.72,1636.63,audio_files/20180618_enm1930-1635720-1636630.wav,opochka,А?,,,
20180618_zii1932_a-2642841-2644470,Interviewer,2642.841,2644.47,audio_files/20180618_zii1932_a-2642841-2644470.wav,standart,"Да, у нас вот пять девочек",,,
020721_VIK1941_Razdorskaya-5644876-5652276,Interviewer,5644.876,5652.276,audio_files/020721_VIK1941_Razdorskaya-5644876-5652276.wav,standart,"И скажут: ну ладно, приезжайте. Без разрешения - нет? ",,,
20180618_zii1932_a-4980747-4984591,зии1932,4980.747,4984.591,audio_files/20180618_zii1932_a-4980747-4984591.wav,opochka,"Витя говорит, ""Такие худющие!"" - говорит, - ""Я не знаю, чем их",,,
20180618_enm1930-401247-403238,енм1930,401.247,403.238,audio_files/20180618_enm1930-401247-403238.wav,opochka,В Белках.,,,
Sib_12-f_36.03_36.79,Sib_12-f,36.03,36.79,./trimmed/Sib_12-f_36.03_36.79.wav,standart,а папа говорил:,f,55.0,elderly
020721_VIK1941_Razdorskaya-2864613-2872113,VIK1941,2864.613,2872.113,audio_files/020721_VIK1941_Razdorskaya-2864613-2872113.wav,don_rnd,"а он пришёл, жрать нечего. Он растапливает горны́, идёт кладёт кизе́ки, ",,,
Keba_MAS1916_2-2184958-2186834,Interviewer,2184.958,2186.834,audio_files/Keba_MAS1916_2-2184958-2186834.wav,standart,"А-а, там большая река, да?  ",,,
Keba_KMV1919-532478-542700,KMV1919,532.478,542.7,audio_files/Keba_KMV1919-532478-542700.wav,keba,"да вот утром и сочни наскёшь да это нальёшь да и, в печь посадишь в русскую, да вот
         испекёшь, да масличком намажешь, да вот и шанёжки да лепёшки.  ",,,
20180618_zii1932_a-46226-49471,зии1932,46.226,49.471,audio_files/20180618_zii1932_a-46226-49471.wav,opochka,"с этой деревне туда, в лес, деревня",,,
020721_VIK1941_Razdorskaya-910204-913647,Interviewer,910.204,913.647,audio_files/020721_VIK1941_Razdorskaya-910204-913647.wav,standart,"А что там внизу, что вверху? А зачем низы, верхи? ",,,
04072022_MLI1941_Melikhovskaya-194759-195702,Interviewer,194.759,195.702,audio_files/04072022_MLI1941_Melikhovskaya-194759-195702.wav,standart,Кто дом строил? ,,,
20180618_zii1932_a-3460775-3462391,зии1932,3460.775,3462.391,audio_files/20180618_zii1932_a-3460775-3462391.wav,opochka,Я такой люблю сама.,,,
Sib_04-m_45.52_46.46,Sib_04-m,45.52,46.46,./trimmed/Sib_04-m_45.52_46.46.wav,standart,"уволили за пьянку.»,",m,20.0,young
04072022_MLI1941_Melikhovskaya-1947090-1948710,tx@MLI1941,1947.09,1948.71,audio_files/04072022_MLI1941_Melikhovskaya-1947090-1948710.wav,don_rnd,Что там готовят. ,,,
020721_VIK1941_Razdorskaya-1615227-1624056,VIK1941,1615.227,1624.056,audio_files/020721_VIK1941_Razdorskaya-1615227-1624056.wav,don_rnd,"Чудо, не рыба. Туда же, в уху, всё приготовленное.  ",,,
20180618_enm1930-1784647-1786820,енм1930,1784.647,1786.82,audio_files/20180618_enm1930-1784647-1786820.wav,opochka,Взад-вперёд ходят.,,,
20180618_zii1932_a-2447829-2449091,зии1932,2447.829,2449.091,audio_files/20180618_zii1932_a-2447829-2449091.wav,opochka,Ну а Катя это,,,
04072022_MLI1941_Melikhovskaya-1101175-1103734,tx@MLI1941,1101.175,1103.734,audio_files/04072022_MLI1941_Melikhovskaya-1101175-1103734.wav,don_rnd,А когда высохнет эта травка... ,,,
04072022_TNG1957_Melikhovskaya-5505378-5508065,TNG1957,5505.378,5508.065,audio_files/04072022_TNG1957_Melikhovskaya-5505378-5508065.wav,don_rnd,"Было шесть выкидышей, она не могла родить ребенка. ",,,
20180618_enm1930-2350746-2356009,енм1930,2350.746,2356.009,audio_files/20180618_enm1930-2350746-2356009.wav,opochka,И там рядом сосед - то колодец выкопан.,,,
04072022_TNG1957_Melikhovskaya-8652400-8657360,TNG1957,8652.4,8657.36,audio_files/04072022_TNG1957_Melikhovskaya-8652400-8657360.wav,don_rnd,"Нет, это в общем-то случайно Алле как раз скинули, а она мне на флешку. ",,,
Sib_09-m_169.58_172.16,Sib_09-m,169.58,172.16,./trimmed/Sib_09-m_169.58_172.16.wav,standart,{СМЕХ} ∙∙ {СМЕХ} попутчикам= ‖ {СМЕХ} пассажирам.,m,41.0,middle
020721_VIK1941_Razdorskaya-4063932-4070566,VIK1941,4063.932,4070.566,audio_files/020721_VIK1941_Razdorskaya-4063932-4070566.wav,don_rnd,"А дед как дал ей арапника, так отсёк, так отсёк, ну кнутом отсёк,  ",,,
20180618_zii1932_a-1062672-1067733,зии1932,1062.672,1067.733,audio_files/20180618_zii1932_a-1062672-1067733.wav,opochka,"Все тут не живут, нет жить= (житья) жилья, а они хотят ездить?",,,
20180618_zii1932_a-3732924-3737434,зии1932,3732.924,3737.434,audio_files/20180618_zii1932_a-3732924-3737434.wav,opochka,"если Настенька будет, мы день рождения опять отметим у тебя,",,,
04072022_MLI1941_Melikhovskaya-1337948-1339154,tx@MLI1941,1337.948,1339.154,audio_files/04072022_MLI1941_Melikhovskaya-1337948-1339154.wav,don_rnd,"Ну, все равно же. ",,,
Keba_MAS1916_2-228563-235275,MAS1916,228.563,235.275,audio_files/Keba_MAS1916_2-228563-235275.wav,keba,"Старый, давношный. Вот мне семьдесят лет, а он до того ещё где строен. ",,,
020721_VIK1941_Razdorskaya-818738-825124,VIK1941,818.738,825.124,audio_files/020721_VIK1941_Razdorskaya-818738-825124.wav,don_rnd,"продала и купила мне куклу и ботиночки – ходить-то дитю не в чем, я ж ещё.  ",,,
Sib_15-f_96.09_97.32,Sib_15-f,96.09,97.32,./trimmed/Sib_15-f_96.09_97.32.wav,standart,как у меня осталось в памяти.),f,70.0,elderly
020721_VIK1941_Razdorskaya-1101863-1109738,VIK1941,1101.863,1109.738,audio_files/020721_VIK1941_Razdorskaya-1101863-1109738.wav,don_rnd,"Там дома помолотят, кашка уже, они перекрутят на мясорубку, ладушки. ",,,
04072022_MLI1941_Melikhovskaya-558417-562819,tx@MLI1941,558.417,562.819,audio_files/04072022_MLI1941_Melikhovskaya-558417-562819.wav,don_rnd,"Хоть нужда была, и голод уви= видели все после войны. ",,,
Keba_KMV1919-452615-461018,KMV1919,452.615,461.018,audio_files/Keba_KMV1919-452615-461018.wav,keba,"так вот триста литров носишь молоко, дак задаром там почти, за какие-то копейки, за
         какие-то копейки, не знаю, сколько, не помню тепере, копеек,  ",,,
Keba_MAS1916_1-715218-718071,MAS1916,715.218,718.071,audio_files/Keba_MAS1916_1-715218-718071.wav,keba,"Да. Боле выросла большая, стало двадцать лет.т ",,,
04072022_TNG1957_Melikhovskaya-2963339-2965952,TNG1957,2963.339,2965.952,audio_files/04072022_TNG1957_Melikhovskaya-2963339-2965952.wav,don_rnd,"Еще лучше нарядили и к Сереже, там, проводили. ",,,
04072022_MLI1941_Melikhovskaya-2259280-2260070,Interviewer,2259.28,2260.07,audio_files/04072022_MLI1941_Melikhovskaya-2259280-2260070.wav,standart,Понятно. ,,,
04072022_TNG1957_Melikhovskaya-5986259-5988352,TNG1957,5986.259,5988.352,audio_files/04072022_TNG1957_Melikhovskaya-5986259-5988352.wav,don_rnd,"Да. Поэтому, я ж говорю ",,,
Keba_MAS1916_1-270804-279156,MAS1916,270.804,279.156,audio_files/Keba_MAS1916_1-270804-279156.wav,keba,"Бухнула, а тут гребок был, и гребусь, гребусь, думаю, за гребок, а сама за дерево,
         а дерево-то слизко дак, рука-то скатывается. ",,,
20180618_zii1932_a-3560069-3562843,зии1932,3560.069,3562.843,audio_files/20180618_zii1932_a-3560069-3562843.wav,opochka,"""Вить, вот что сидеть же, надоест (надаиссь),",,,
Keba_MAS1916_2-1615617-1616573,Interviewer,1615.617,1616.573,audio_files/Keba_MAS1916_2-1615617-1616573.wav,standart,Да. ,,,
04072022_TNG1957_Melikhovskaya-7525232-7526472,TNG1957,7525.232,7526.472,audio_files/04072022_TNG1957_Melikhovskaya-7525232-7526472.wav,don_rnd,Я их очень люблю. ,,,
Keba_MAS1916_1-548995-550208,Other,548.995,550.208,audio_files/Keba_MAS1916_1-548995-550208.wav,keba,Чего? ,,,
04072022_MLI1941_Melikhovskaya-1197980-1198863,Interviewer,1197.98,1198.863,audio_files/04072022_MLI1941_Melikhovskaya-1197980-1198863.wav,standart,Среда. ,,,
