,informant,start,end,filename,corpus,text,gender,age
020721_VIK1941_Razdorskaya-25102-30568,VIK1941,25.102,30.568,audio_files/020721_VIK1941_Razdorskaya-25102-30568.wav,don_rnd,"Там от центра и прямо, там большие длинные амбары были.   ",,
020721_VIK1941_Razdorskaya-30568-35286,VIK1941,30.568,35.286,audio_files/020721_VIK1941_Razdorskaya-30568-35286.wav,don_rnd,"Хлеб когда-то же был там, хлеб, зерно хранили.  ",,
020721_VIK1941_Razdorskaya-35249-35930,Interviewer,35.249,35.93,audio_files/020721_VIK1941_Razdorskaya-35249-35930.wav,standart,Угу ,,
020721_VIK1941_Razdorskaya-35899-37801,VIK1941,35.899,37.801,audio_files/020721_VIK1941_Razdorskaya-35899-37801.wav,don_rnd,"Я знаю, что он сторожем был.  ",,
020721_VIK1941_Razdorskaya-37801-45410,VIK1941,37.801,45.41,audio_files/020721_VIK1941_Razdorskaya-37801-45410.wav,don_rnd,"Потом знаю, что приносил... Приносил на себе раненых солдат, своих ребят.  ",,
020721_VIK1941_Razdorskaya-45410-50226,VIK1941,45.41,50.226,audio_files/020721_VIK1941_Razdorskaya-45410-50226.wav,don_rnd,"А у нас на нижнем этаже, там жили мы,  ",,
020721_VIK1941_Razdorskaya-50226-56021,VIK1941,50.226,56.021,audio_files/020721_VIK1941_Razdorskaya-50226-56021.wav,don_rnd,"но там была яма выкопана огромная, там хранили картошку.  ",,
020721_VIK1941_Razdorskaya-56030-61369,VIK1941,56.03,61.369,audio_files/020721_VIK1941_Razdorskaya-56030-61369.wav,don_rnd,"И вот туда. А немцы-то всех стянули к нам, в низы, ",,
020721_VIK1941_Razdorskaya-61369-64019,VIK1941,61.369,64.019,audio_files/020721_VIK1941_Razdorskaya-61369-64019.wav,don_rnd,а сверху стреляли. ,,
020721_VIK1941_Razdorskaya-63987-64601,Interviewer,63.987,64.601,audio_files/020721_VIK1941_Razdorskaya-63987-64601.wav,standart,Угу ,,
020721_VIK1941_Razdorskaya-64567-69000,VIK1941,64.567,69.0,audio_files/020721_VIK1941_Razdorskaya-64567-69000.wav,don_rnd,А как стреляют – а мы так ушки позаложим. ,,
020721_VIK1941_Razdorskaya-69000-72595,VIK1941,69.0,72.595,audio_files/020721_VIK1941_Razdorskaya-69000-72595.wav,don_rnd,"А как только немцы заходят сюда, в низы, ",,
020721_VIK1941_Razdorskaya-72595-76602,VIK1941,72.595,76.602,audio_files/020721_VIK1941_Razdorskaya-72595-76602.wav,don_rnd,"а они ж там кряхтят, боль же... боль же адская.  ",,
020721_VIK1941_Razdorskaya-76602-80416,VIK1941,76.602,80.416,audio_files/020721_VIK1941_Razdorskaya-76602-80416.wav,don_rnd,"А они нас щиплют, родители, чтоб мы орали,  ",,
020721_VIK1941_Razdorskaya-80416-84068,VIK1941,80.416,84.068,audio_files/020721_VIK1941_Razdorskaya-80416-84068.wav,don_rnd,"чтоб не слышно было шума, а то постреляют всех.  ",,
020721_VIK1941_Razdorskaya-84068-89345,VIK1941,84.068,89.345,audio_files/020721_VIK1941_Razdorskaya-84068-89345.wav,don_rnd,"И потом значит подздоровели, подлечили они их, и они: ну, дедушка,  ",,
020721_VIK1941_Razdorskaya-89345-92409,VIK1941,89.345,92.409,audio_files/020721_VIK1941_Razdorskaya-89345-92409.wav,don_rnd,живы будем – мы тебя найдём.  ,,
020721_VIK1941_Razdorskaya-92409-96440,VIK1941,92.409,96.44,audio_files/020721_VIK1941_Razdorskaya-92409-96440.wav,don_rnd,"Ну, один раз только письмо присылали, уже после войны.  ",,
020721_VIK1941_Razdorskaya-96440-99415,VIK1941,96.44,99.415,audio_files/020721_VIK1941_Razdorskaya-96440-99415.wav,don_rnd,А больше – нет.  ,,
020721_VIK1941_Razdorskaya-99430-101513,VIK1941,99.43,101.513,audio_files/020721_VIK1941_Razdorskaya-99430-101513.wav,don_rnd,"Наверно, погибли они.  ",,
020721_VIK1941_Razdorskaya-101513-106309,VIK1941,101.513,106.309,audio_files/020721_VIK1941_Razdorskaya-101513-106309.wav,don_rnd,"А дедушка – кадушки стояли в погребе, огромные, с капустою, – ",,
020721_VIK1941_Razdorskaya-106309-109673,VIK1941,106.309,109.673,audio_files/020721_VIK1941_Razdorskaya-106309-109673.wav,don_rnd,всем в котелочки всем капустки понаклал.  ,,
020721_VIK1941_Razdorskaya-109690-112880,VIK1941,109.69,112.88,audio_files/020721_VIK1941_Razdorskaya-109690-112880.wav,don_rnd,"А мы же заглядаем, чего там, в котелках-то.   ",,
020721_VIK1941_Razdorskaya-112880-117965,VIK1941,112.88,117.965,audio_files/020721_VIK1941_Razdorskaya-112880-117965.wav,don_rnd,"А они говорят, нету ничего, лапочки, мы бы рады вам дать, да ничего нету.  ",,
020721_VIK1941_Razdorskaya-117965-120818,VIK1941,117.965,120.818,audio_files/020721_VIK1941_Razdorskaya-117965-120818.wav,don_rnd,"Котелки я хорошо помню,  ",,
020721_VIK1941_Razdorskaya-120818-123297,VIK1941,120.818,123.297,audio_files/020721_VIK1941_Razdorskaya-120818-123297.wav,don_rnd,и ребят этих хорошо помню. ,,
020721_VIK1941_Razdorskaya-123297-131595,VIK1941,123.297,131.595,audio_files/020721_VIK1941_Razdorskaya-123297-131595.wav,don_rnd,"А одежду, одежду мама – всю дедову, отцову – всё пораздавала им,  ",,
020721_VIK1941_Razdorskaya-131595-133880,VIK1941,131.595,133.88,audio_files/020721_VIK1941_Razdorskaya-131595-133880.wav,don_rnd,"они одевались в нашу одежду,  ",,
020721_VIK1941_Razdorskaya-133880-140034,VIK1941,133.88,140.034,audio_files/020721_VIK1941_Razdorskaya-133880-140034.wav,don_rnd,"и дедушка их провожал на гору, и так они и пошли, где наши-то, в каком краю были.
          ",,
020721_VIK1941_Razdorskaya-140034-146226,VIK1941,140.034,146.226,audio_files/020721_VIK1941_Razdorskaya-140034-146226.wav,don_rnd,"Это я хорошо помню, а я орала. А немцы, а маму немцы, мама же молодая была,  ",,
020721_VIK1941_Razdorskaya-146226-147988,VIK1941,146.226,147.988,audio_files/020721_VIK1941_Razdorskaya-146226-147988.wav,don_rnd,"гонялись же за нею, да.  ",,
020721_VIK1941_Razdorskaya-147988-154215,VIK1941,147.988,154.215,audio_files/020721_VIK1941_Razdorskaya-147988-154215.wav,don_rnd,"А она же губной намажет, губной, чтоб не лезли они.  ",,
020721_VIK1941_Razdorskaya-147988-154179,Activity,147.988,154.179,audio_files/020721_VIK1941_Razdorskaya-147988-154179.wav,don_rnd,(показывает в промежности) ,,
020721_VIK1941_Razdorskaya-154215-162476,VIK1941,154.215,162.476,audio_files/020721_VIK1941_Razdorskaya-154215-162476.wav,don_rnd,"А потом дедушка хоронил – как раньше же лепили кизеки, из коз, с овечек,  ",,
020721_VIK1941_Razdorskaya-162476-169988,VIK1941,162.476,169.988,audio_files/020721_VIK1941_Razdorskaya-162476-169988.wav,don_rnd,"месили всё это,  и станочки такие, и кизеки, так вот длинненькие, как саман когда-то
         был,  ",,
020721_VIK1941_Razdorskaya-169988-176083,VIK1941,169.988,176.083,audio_files/020721_VIK1941_Razdorskaya-169988-176083.wav,don_rnd,"может, помните саман,  с самана хаты клали. Такие кизеки делали, и называются кизеки.
          ",,
020721_VIK1941_Razdorskaya-176083-185238,VIK1941,176.083,185.238,audio_files/020721_VIK1941_Razdorskaya-176083-185238.wav,don_rnd,"Топили ими, растапливали бурьяном всяким, а потом ложили эти кизеки, они дымились,
         и тепло было.  ",,
020721_VIK1941_Razdorskaya-185238-187178,VIK1941,185.238,187.178,audio_files/020721_VIK1941_Razdorskaya-185238-187178.wav,don_rnd,Мама хоронилась там.  ,,
020721_VIK1941_Razdorskaya-187178-189988,VIK1941,187.178,189.988,audio_files/020721_VIK1941_Razdorskaya-187178-189988.wav,don_rnd,"А я же маленькая: мамка,  ",,
020721_VIK1941_Razdorskaya-189988-194857,VIK1941,189.988,194.857,audio_files/020721_VIK1941_Razdorskaya-189988-194857.wav,don_rnd,"а я же плачу: вон мама, вон мама! Немцам показываю, где мама,  ",,
020721_VIK1941_Razdorskaya-194857-200386,VIK1941,194.857,200.386,audio_files/020721_VIK1941_Razdorskaya-194857-200386.wav,don_rnd,"вон мама! А дедушка меня за руку или бабушка: пойдём, внучечка, нет, мама уже ушла.
          ",,
020721_VIK1941_Razdorskaya-200386-206720,VIK1941,200.386,206.72,audio_files/020721_VIK1941_Razdorskaya-200386-206720.wav,don_rnd,"Не, вон мама! Дядя, дядя, вон мама! В кизеках… ",,
020721_VIK1941_Razdorskaya-205215-206078,Activity,205.215,206.078,audio_files/020721_VIK1941_Razdorskaya-205215-206078.wav,don_rnd,Смеется ,,
020721_VIK1941_Razdorskaya-206730-209690,VIK1941,206.73,209.69,audio_files/020721_VIK1941_Razdorskaya-206730-209690.wav,don_rnd,"Как. Трудно жили, девчата, очень трудно.  ",,
020721_VIK1941_Razdorskaya-209690-212011,VIK1941,209.69,212.011,audio_files/020721_VIK1941_Razdorskaya-209690-212011.wav,don_rnd,После войны очень трудно жили.  ,,
020721_VIK1941_Razdorskaya-212011-217478,VIK1941,212.011,217.478,audio_files/020721_VIK1941_Razdorskaya-212011-217478.wav,don_rnd,"Сахарку этого, мать, когда где-то там кто-то её угостит,  ",,
020721_VIK1941_Razdorskaya-217479-225013,VIK1941,217.479,225.013,audio_files/020721_VIK1941_Razdorskaya-217479-225013.wav,don_rnd,"и она эту делит, на на бабушку, на дедушку, на меня и на брата. ",,
020721_VIK1941_Razdorskaya-225013-228454,VIK1941,225.013,228.454,audio_files/020721_VIK1941_Razdorskaya-225013-228454.wav,don_rnd,"А что там попадёт-то куда, да ничего. ",,
020721_VIK1941_Razdorskaya-228454-230513,VIK1941,228.454,230.513,audio_files/020721_VIK1941_Razdorskaya-228454-230513.wav,don_rnd,Копали корни.  ,,
020721_VIK1941_Razdorskaya-230513-234513,VIK1941,230.513,234.513,audio_files/020721_VIK1941_Razdorskaya-230513-234513.wav,don_rnd,"От дубец сейчас у нас, у меня во дворе даже он растёт.   ",,
020721_VIK1941_Razdorskaya-234521-238831,VIK1941,234.521,238.831,audio_files/020721_VIK1941_Razdorskaya-234521-238831.wav,don_rnd,"Корни копали, и целый день смокчем, он же сладкий.  ",,
020721_VIK1941_Razdorskaya-238840-241749,VIK1941,238.84,241.749,audio_files/020721_VIK1941_Razdorskaya-238840-241749.wav,don_rnd,Сахару-то хотелось.  ,,
020721_VIK1941_Razdorskaya-241749-243169,VIK1941,241.749,243.169,audio_files/020721_VIK1941_Razdorskaya-241749-243169.wav,don_rnd,Коз чергу пасём.  ,,
020721_VIK1941_Razdorskaya-243170-248079,Interviewer,243.17,248.079,audio_files/020721_VIK1941_Razdorskaya-243170-248079.wav,standart,Коз? Кого? ,,
020721_VIK1941_Razdorskaya-245476-245930,VIK1941,245.476,245.93,audio_files/020721_VIK1941_Razdorskaya-245476-245930.wav,don_rnd,Коз. ,,
020721_VIK1941_Razdorskaya-248079-248714,Interviewer,248.079,248.714,audio_files/020721_VIK1941_Razdorskaya-248079-248714.wav,standart, Чергу? ,,
020721_VIK1941_Razdorskaya-248715-249613,VIK1941,248.715,249.613,audio_files/020721_VIK1941_Razdorskaya-248715-249613.wav,don_rnd,Чергу. ,,
020721_VIK1941_Razdorskaya-249601-250010,Interviewer,249.601,250.01,audio_files/020721_VIK1941_Razdorskaya-249601-250010.wav,standart,Что это? ,,
020721_VIK1941_Razdorskaya-249940-254681,VIK1941,249.94,254.681,audio_files/020721_VIK1941_Razdorskaya-249940-254681.wav,don_rnd,Черга называлась.  По очереди пасут.  ,,
020721_VIK1941_Razdorskaya-254681-260579,VIK1941,254.681,260.579,audio_files/020721_VIK1941_Razdorskaya-254681-260579.wav,don_rnd,"Сегодня один двор, завтра другой, послезавтра третий, завтра нам черга.  ",,
020721_VIK1941_Razdorskaya-260579-265340,VIK1941,260.579,265.34,audio_files/020721_VIK1941_Razdorskaya-260579-265340.wav,don_rnd,И телят точно так пасли.  И коров точно так пасли.  ,,
020721_VIK1941_Razdorskaya-265340-268324,VIK1941,265.34,268.324,audio_files/020721_VIK1941_Razdorskaya-265340-268324.wav,don_rnd,"Ну идём-идём, а там же калачики раньше  ",,
020721_VIK1941_Razdorskaya-268324-273499,VIK1941,268.324,273.499,audio_files/020721_VIK1941_Razdorskaya-268324-273499.wav,don_rnd,"росли, такие вот, это там меленькие-меленькие. Да чистим целый день, чистим, да едим. ",,
020721_VIK1941_Razdorskaya-273499-278112,VIK1941,273.499,278.112,audio_files/020721_VIK1941_Razdorskaya-273499-278112.wav,don_rnd,"Даст же мама харчей, а подруги к мене придут, друзья к брату придут,  ",,
020721_VIK1941_Razdorskaya-278112-281451,VIK1941,278.112,281.451,audio_files/020721_VIK1941_Razdorskaya-278112-281451.wav,don_rnd,"сели, сразу поели, потом целый день же голодные.  ",,
020721_VIK1941_Razdorskaya-281464-284126,VIK1941,281.464,284.126,audio_files/020721_VIK1941_Razdorskaya-281464-284126.wav,don_rnd,"И вот калачики эти собираем, ",,
020721_VIK1941_Razdorskaya-284159-287644,VIK1941,284.159,287.644,audio_files/020721_VIK1941_Razdorskaya-284159-287644.wav,don_rnd,кочетки вот эти вот сейчас сиреневым цветут.   ,,
020721_VIK1941_Razdorskaya-287615-289954,Interviewer,287.615,289.954,audio_files/020721_VIK1941_Razdorskaya-287615-289954.wav,standart,«Кочетки» - это какие? ,,
020721_VIK1941_Razdorskaya-289918-292298,VIK1941,289.918,292.298,audio_files/020721_VIK1941_Razdorskaya-289918-292298.wav,don_rnd,Ну как вам сказать?  ,,
020721_VIK1941_Razdorskaya-289920-290454,Activity,289.92,290.454,audio_files/020721_VIK1941_Razdorskaya-289920-290454.wav,don_rnd,Вздох ,,
020721_VIK1941_Razdorskaya-292312-295312,VIK1941,292.312,295.312,audio_files/020721_VIK1941_Razdorskaya-292312-295312.wav,don_rnd,"Вот такие растут они, вот такие толщиною, как палец.  ",,
020721_VIK1941_Razdorskaya-295312-297649,VIK1941,295.312,297.649,audio_files/020721_VIK1941_Razdorskaya-295312-297649.wav,don_rnd,И цветут вот тут сиреневым тоже. ,,
020721_VIK1941_Razdorskaya-297649-301511,VIK1941,297.649,301.511,audio_files/020721_VIK1941_Razdorskaya-297649-301511.wav,don_rnd,"Их ломали, чистили и ели,  ",,
020721_VIK1941_Razdorskaya-301511-302831,VIK1941,301.511,302.831,audio_files/020721_VIK1941_Razdorskaya-301511-302831.wav,don_rnd,Чистили и ели. ,,
020721_VIK1941_Razdorskaya-302838-305148,VIK1941,302.838,305.148,audio_files/020721_VIK1941_Razdorskaya-302838-305148.wav,don_rnd,И целый день пасёшься там на этих.  ,,
020721_VIK1941_Razdorskaya-305141-306859,Interviewer,305.141,306.859,audio_files/020721_VIK1941_Razdorskaya-305141-306859.wav,standart,Животы не болели? ,,
020721_VIK1941_Razdorskaya-306866-308749,VIK1941,306.866,308.749,audio_files/020721_VIK1941_Razdorskaya-306866-308749.wav,don_rnd,Да и не болели ,,
020721_VIK1941_Razdorskaya-308724-311886,Interviewer,308.724,311.886,audio_files/020721_VIK1941_Razdorskaya-308724-311886.wav,standart,А если бы заболели? Лечили как? ,,
020721_VIK1941_Razdorskaya-311844-315707,VIK1941,311.844,315.707,audio_files/020721_VIK1941_Razdorskaya-311844-315707.wav,don_rnd,"Да никак.  Как лечили. Баба травки этой,  ",,
020721_VIK1941_Razdorskaya-315707-319811,VIK1941,315.707,319.811,audio_files/020721_VIK1941_Razdorskaya-315707-319811.wav,don_rnd,"пижмы, нарвёт пойдёт, в балке сорвёт, отварит, напоит, и готов.   ",,
020721_VIK1941_Razdorskaya-319811-321195,VIK1941,319.811,321.195,audio_files/020721_VIK1941_Razdorskaya-319811-321195.wav,don_rnd,И всё проходит. ,,
020721_VIK1941_Razdorskaya-321195-324965,VIK1941,321.195,324.965,audio_files/020721_VIK1941_Razdorskaya-321195-324965.wav,don_rnd,"Жёлтая, вон у нас тут полно, целая балка её растёт.  ",,
020721_VIK1941_Razdorskaya-324965-327233,VIK1941,324.965,327.233,audio_files/020721_VIK1941_Razdorskaya-324965-327233.wav,don_rnd,Пижму отваривала.  ,,
020721_VIK1941_Razdorskaya-327154-332436,Interviewer,327.154,332.436,audio_files/020721_VIK1941_Razdorskaya-327154-332436.wav,standart,"А бабушка кого-то лечить умела? Или только своих, домашних? ",,
020721_VIK1941_Razdorskaya-331816-335055,VIK1941,331.816,335.055,audio_files/020721_VIK1941_Razdorskaya-331816-335055.wav,don_rnd,Нет. Бабушка – нет. С испуга детей лечила.  ,,
020721_VIK1941_Razdorskaya-335055-338168,Interviewer,335.055,338.168,audio_files/020721_VIK1941_Razdorskaya-335055-338168.wav,standart,Испуг - это что? ,,
020721_VIK1941_Razdorskaya-338141-343545,VIK1941,338.141,343.545,audio_files/020721_VIK1941_Razdorskaya-338141-343545.wav,don_rnd,"Ну когда пугается дитё. И тогда кричит, и кричит, и кричит. Ну. ",,
020721_VIK1941_Razdorskaya-343545-346547,VIK1941,343.545,346.547,audio_files/020721_VIK1941_Razdorskaya-343545-346547.wav,don_rnd,"Она прочитает молитву, и всё, ",,
020721_VIK1941_Razdorskaya-346548-348379,VIK1941,346.548,348.379,audio_files/020721_VIK1941_Razdorskaya-346548-348379.wav,don_rnd,"и замолчал, заснул.  ",,
020721_VIK1941_Razdorskaya-348340-349090,Interviewer,348.34,349.09,audio_files/020721_VIK1941_Razdorskaya-348340-349090.wav,standart,А что читала? ,,
020721_VIK1941_Razdorskaya-349033-352124,VIK1941,349.033,352.124,audio_files/020721_VIK1941_Razdorskaya-349033-352124.wav,don_rnd,"И я знаю, и я знаю конечно. ",,
020721_VIK1941_Razdorskaya-350743-351870,Interviewer,350.743,351.87,audio_files/020721_VIK1941_Razdorskaya-350743-351870.wav,standart,А что читали тогда? ,,
020721_VIK1941_Razdorskaya-352124-353461,VIK1941,352.124,353.461,audio_files/020721_VIK1941_Razdorskaya-352124-353461.wav,don_rnd,"Отче наш,  ",,
020721_VIK1941_Razdorskaya-353461-356642,VIK1941,353.461,356.642,audio_files/020721_VIK1941_Razdorskaya-353461-356642.wav,don_rnd,и к Отче наш прибавляется же там:  ,,
020721_VIK1941_Razdorskaya-356642-358833,VIK1941,356.642,358.833,audio_files/020721_VIK1941_Razdorskaya-356642-358833.wav,don_rnd,"Бог в помощь, святая вода Ульяна, ",,
020721_VIK1941_Razdorskaya-358833-362863,VIK1941,358.833,362.863,audio_files/020721_VIK1941_Razdorskaya-358833-362863.wav,don_rnd,"ты бегишь день и ночь, омываешь поля и болота, вымываешь каменья, коренья,  ",,
020721_VIK1941_Razdorskaya-362863-367760,VIK1941,362.863,367.76,audio_files/020721_VIK1941_Razdorskaya-362863-367760.wav,don_rnd,"смой с младенца крещёного, молитвенного или раба,  ",,
020721_VIK1941_Razdorskaya-367760-370926,VIK1941,367.76,370.926,audio_files/020721_VIK1941_Razdorskaya-367760-370926.wav,don_rnd,"кто взрослый, значит, раб или раба,  ",,
020721_VIK1941_Razdorskaya-370926-376305,VIK1941,370.926,376.305,audio_files/020721_VIK1941_Razdorskaya-370926-376305.wav,don_rnd,"крещёного, молитвенного, от чёрного глаза, от белого глаза, от чёрного печеня,  ",,
020721_VIK1941_Razdorskaya-376305-382363,VIK1941,376.305,382.363,audio_files/020721_VIK1941_Razdorskaya-376305-382363.wav,don_rnd,"от белого печеня, от ребячьего, от женского, от мужского.   ",,
020721_VIK1941_Razdorskaya-382363-384999,VIK1941,382.363,384.999,audio_files/020721_VIK1941_Razdorskaya-382363-384999.wav,don_rnd,"Ну, во имя отца, и сына, и святого духа. ",,
020721_VIK1941_Razdorskaya-384999-389740,VIK1941,384.999,389.74,audio_files/020721_VIK1941_Razdorskaya-384999-389740.wav,don_rnd,"И если вода есть, брызгают водичкой, просто берут водичку и брызгают.  ",,
020721_VIK1941_Razdorskaya-389740-392064,VIK1941,389.74,392.064,audio_files/020721_VIK1941_Razdorskaya-389740-392064.wav,don_rnd,"Если священой нету, простой водой.  ",,
020721_VIK1941_Razdorskaya-392067-394723,VIK1941,392.067,394.723,audio_files/020721_VIK1941_Razdorskaya-392067-394723.wav,don_rnd,"а если вообще нету, вот попадают в дороге,  ",,
020721_VIK1941_Razdorskaya-394726-397830,VIK1941,394.726,397.83,audio_files/020721_VIK1941_Razdorskaya-394726-397830.wav,don_rnd,"значит, языком слизывают, вот так и вот так,  ",,
020721_VIK1941_Razdorskaya-397832-402350,VIK1941,397.832,402.35,audio_files/020721_VIK1941_Razdorskaya-397832-402350.wav,don_rnd,"Плюют, опять вот так, так, плюют, и вот точно так третий раз. ",,
020721_VIK1941_Razdorskaya-402344-404591,Interviewer,402.344,404.591,audio_files/020721_VIK1941_Razdorskaya-402344-404591.wav,standart,"От подбородка до носа, да? ",,
020721_VIK1941_Razdorskaya-404527-405879,VIK1941,404.527,405.879,audio_files/020721_VIK1941_Razdorskaya-404527-405879.wav,don_rnd,Нет до лба.  ,,
020721_VIK1941_Razdorskaya-405830-408858,Interviewer,405.83,408.858,audio_files/020721_VIK1941_Razdorskaya-405830-408858.wav,standart,"До лба, от подбородка до лба слизывают? ",,
020721_VIK1941_Razdorskaya-408831-410493,VIK1941,408.831,410.493,audio_files/020721_VIK1941_Razdorskaya-408831-410493.wav,don_rnd,Так слизывают и сплёвывают.   ,,
020721_VIK1941_Razdorskaya-410493-413837,Interviewer,410.493,413.837,audio_files/020721_VIK1941_Razdorskaya-410493-413837.wav,standart,А «печень» что такое? «Женский печень» - это что? ,,
020721_VIK1941_Razdorskaya-413790-417662,VIK1941,413.79,417.662,audio_files/020721_VIK1941_Razdorskaya-413790-417662.wav,don_rnd,"Ну, ну что, ну, ну как сказать.  ",,
020721_VIK1941_Razdorskaya-417662-418690,VIK1941,417.662,418.69,audio_files/020721_VIK1941_Razdorskaya-417662-418690.wav,don_rnd,Ну так. ,,
020721_VIK1941_Razdorskaya-418670-420212,Interviewer,418.67,420.212,audio_files/020721_VIK1941_Razdorskaya-418670-420212.wav,standart,Что болит-то? ,,
020721_VIK1941_Razdorskaya-420169-424055,Activity,420.169,424.055,audio_files/020721_VIK1941_Razdorskaya-420169-424055.wav,don_rnd,Вздыхает ,,
020721_VIK1941_Razdorskaya-424010-427512,VIK1941,424.01,427.512,audio_files/020721_VIK1941_Razdorskaya-424010-427512.wav,don_rnd,"Была, бабушки же всё узнали,  ",,
020721_VIK1941_Razdorskaya-427512-432255,VIK1941,427.512,432.255,audio_files/020721_VIK1941_Razdorskaya-427512-432255.wav,don_rnd,"ну какая-то видимо травка, видимо травка какая-то была.  ",,
020721_VIK1941_Razdorskaya-432255-439056,VIK1941,432.255,439.056,audio_files/020721_VIK1941_Razdorskaya-432255-439056.wav,don_rnd,"А что баба говорила, пойди-ка там выдерни, выдерни-ка в сени.  ",,
020721_VIK1941_Razdorskaya-439056-444288,VIK1941,439.056,444.288,audio_files/020721_VIK1941_Razdorskaya-439056-444288.wav,don_rnd,"Травки заварить чай, ежевичник, ежевичник.  ",,
020721_VIK1941_Razdorskaya-444288-448566,VIK1941,444.288,448.566,audio_files/020721_VIK1941_Razdorskaya-444288-448566.wav,don_rnd,"Ежевика растёт, знаете, ну вот косили же её с травою вместе,  ",,
020721_VIK1941_Razdorskaya-448566-453550,VIK1941,448.566,453.55,audio_files/020721_VIK1941_Razdorskaya-448566-453550.wav,don_rnd,"а зимой выдёргивали веточку и чай пили, заваривали и пили.    ",,
020721_VIK1941_Razdorskaya-453499-454465,Interviewer,453.499,454.465,audio_files/020721_VIK1941_Razdorskaya-453499-454465.wav,standart,Угу. ,,
020721_VIK1941_Razdorskaya-454420-455647,VIK1941,454.42,455.647,audio_files/020721_VIK1941_Razdorskaya-454420-455647.wav,don_rnd,А чо? ,,
020721_VIK1941_Razdorskaya-455621-457738,Interviewer,455.621,457.738,audio_files/020721_VIK1941_Razdorskaya-455621-457738.wav,standart,"Так ""печень"" - это не болезнь так называлась? ",,
020721_VIK1941_Razdorskaya-457733-464931,VIK1941,457.733,464.931,audio_files/020721_VIK1941_Razdorskaya-457733-464931.wav,don_rnd,"Нет-нет-нет, нет-нет-нет. Ага. Это травка такая.  ",,
020721_VIK1941_Razdorskaya-458337-459081,Interviewer,458.337,459.081,audio_files/020721_VIK1941_Razdorskaya-458337-459081.wav,standart,Это травка? ,,
020721_VIK1941_Razdorskaya-464931-469840,Interviewer,464.931,469.84,audio_files/020721_VIK1941_Razdorskaya-464931-469840.wav,standart,"Лечили, а приворожить могли? ",,
020721_VIK1941_Razdorskaya-469800-475566,VIK1941,469.8,475.566,audio_files/020721_VIK1941_Razdorskaya-469800-475566.wav,don_rnd,"Были и колдовки были, были-были,  были-были, были, потому что я знаю,  ",,
020721_VIK1941_Razdorskaya-475566-479922,VIK1941,475.566,479.922,audio_files/020721_VIK1941_Razdorskaya-475566-479922.wav,don_rnd,"у нас отец ушёл только из-за того, что она там  ",,
020721_VIK1941_Razdorskaya-479922-482420,VIK1941,479.922,482.42,audio_files/020721_VIK1941_Razdorskaya-479922-482420.wav,don_rnd,"колдунья была, в Мелеховке.  ",,
020721_VIK1941_Razdorskaya-482420-485568,VIK1941,482.42,485.568,audio_files/020721_VIK1941_Razdorskaya-482420-485568.wav,don_rnd,Уж пришёл он с фронта и пошёл. ,,
020721_VIK1941_Razdorskaya-485568-488155,VIK1941,485.568,488.155,audio_files/020721_VIK1941_Razdorskaya-485568-488155.wav,don_rnd,"– Шура, чего уж я на прицепке работаю.  ",,
